Size, Clasica, noRapida, Karat
8, 0.001999, 0.00611, 0.005258
16, 0.004914, 0.017305, 0.012533
32, 0.020343, 0.074397, 0.042173
64, 0.075789, 0.296826, 0.12655
128, 0.328841, 1.30644, 0.444273
256, 1.39871, 5.89644, 1.48377
512, 6.05433, 21.8725, 4.19189
1024, 22.3155, 79.6187, 11.7412
2048, 103.616, 372.268, 41.3552
4096, 414.116, 1441.41, 121.415
8192, 1695.09, 5841.65, 369.53
16384, 6464.82, 21686.9, 1023.73
32768, 26024.8, 86287.5, 3092.15

